id,x,y,group,col,pch,y_variable,x_variable
Mphyt,2.007488253015241,0.4088769733051669,1,red,19,D,H'
Mphyt,1.9604852395030394,0.390305050893029,1,red,19,D,H'
Mphyt,2.19550030706404,0.390305050893029,1,red,19,D,H'
Mphyt,2.3365093476006384,0.38566207028999466,1,red,19,D,H'
Mphyt,2.477518388137239,0.390305050893029,1,red,19,D,H'
Mphyt,2.3835123611128384,0.37637610908392594,1,red,19,D,H'
Mphyt,0.8794159287224437,-0.10649387363164942,1,red,19,D,H'
Mphyt,0.8559144219663428,-0.07863599001344324,1,red,19,D,H'
Mphyt,0.9969234625029437,-0.08792195121951174,1,red,19,D,H'
Mphyt,0.9969234625029437,-0.08327897061647738,1,red,19,D,H'
Mphyt,0.949920448990744,-0.09720791242558069,1,red,19,D,H'
Mphyt,1.1614340097956435,-0.055421086998270974,1,red,19,D,H'
Mphyt,1.255440036820043,-0.04613512579220225,1,red,19,D,H'
Mphyt,1.0909294895273431,-0.041492145189168106,1,red,19,D,H'
Mphyt,0.9969234625029437,-0.03220618398309916,1,red,19,D,H'
Mphyt,0.9734219557468429,-0.022920222777030652,1,red,19,D,H'
Mphyt,1.0909294895273431,-0.018277242173995845,1,red,19,D,H'
Mphyt,0.9969234625029437,2.946802381413871e-4,1,red,19,D,H'
Mphyt,1.1144309962834438,2.946802381413871e-4,1,red,19,D,H'
Mphyt,1.1144309962834438,-0.013634261570961925,1,red,19,D,H'
Mphyt,1.2789415435761418,-0.027563203380064794,1,red,19,D,H'
Mphyt,1.3024430503322424,-0.00899128096792734,1,red,19,D,H'
Mphyt,1.3259445570883412,2.946802381413871e-4,1,red,19,D,H'
Mphyt,1.1614340097956435,0.014223622047244477,1,red,19,D,H'
Mphyt,1.231938530063942,0.03743852506241652,1,red,19,D,H'
Mphyt,1.1849355165517423,0.05601044747455397,1,red,19,D,H'
Mphyt,1.2789415435761418,0.05136746687151961,1,red,19,D,H'
Mphyt,1.349446063844442,0.05601044747455397,1,red,19,D,H'
Mphyt,1.3024430503322424,0.03743852506241652,1,red,19,D,H'
Mphyt,1.3729475706005427,0.07458236988669142,1,red,19,D,H'
Mphyt,1.4199505841127422,0.08851131169579474,1,red,19,D,H'
Mphyt,0.9969234625029437,-0.06470704820433992,1,red,19,D,H'
Mphyt,1.0439264760151434,-0.022920222777030652,1,red,19,D,H'
Mphyt,1.231938530063942,-0.018277242173995845,1,red,19,D,H'
Mphyt,1.1849355165517423,-0.004348300364892976,1,red,19,D,H'
Mphyt,1.349446063844442,0.11636919531400092,1,red,19,D,H'
Mphyt,1.443452090868841,0.11636919531400092,1,red,19,D,H'
Mphyt,1.4904551043810415,0.10708323410793197,1,red,19,D,H'
Mphyt,1.4904551043810415,0.14422707893220732,1,red,19,D,H'
Mphyt,1.513956611137142,0.14422707893220732,1,red,19,D,H'
Mphyt,1.607962638161541,0.15351304013827605,1,red,19,D,H'
Mphyt,1.443452090868841,0.17672794315344742,1,red,19,D,H'
Mphyt,1.5609596246493416,0.1906568849625514,1,red,19,D,H'
Mphyt,1.5609596246493416,0.2092288073746884,1,red,19,D,H'
Mphyt,1.5609596246493416,0.23244371038986023,1,red,19,D,H'
Mphyt,1.5844611314054422,0.24172967159592895,1,red,19,D,H'
Mphyt,1.74897167869814,0.2370866909928946,1,red,19,D,H'
Mphyt,1.7019686651859405,0.16744198194737914,1,red,19,D,H'
Mphyt,1.7959746922103417,0.19529986556558487,1,red,19,D,H'
Mphyt,1.889980719234741,0.19994284616861968,1,red,19,D,H'
Mphyt,1.98398674625914,0.1860139043595166,1,red,19,D,H'
Mphyt,2.007488253015241,0.18137092375648178,1,red,19,D,H'
Mphyt,1.9369837327469406,0.16744198194737914,1,red,19,D,H'
Mphyt,1.91348222599084,0.15351304013827605,1,red,19,D,H'
Mphyt,1.1379325030395426,-0.19006752448626818,1,red,19,D,H'
Mphyt,0.8559144219663428,-0.21328242750143978,1,red,19,D,H'
Mphyt,0.19787223279554578,-1.151164509314384,1,red,19,D,H'
Mphyt,2.289506334088439,0.28351649702323867,1,red,19,D,H'
Mphyt,2.289506334088439,0.3253033224505475,1,red,19,D,H'
Mphyt,2.3600108543567395,0.34387524486268495,1,red,19,D,H'
Mphyt,2.1719988003079393,0.33458928365661667,1,red,19,D,H'
Mphyt,2.2425033205762395,0.36244716727482285,1,red,19,D,H'
Mphyt,2.007488253015241,0.36244716727482285,1,red,19,D,H'
Mphyt,1.8429777057225416,0.3670901478778572,1,red,19,D,H'
Mphyt,1.91348222599084,0.33458928365661667,1,red,19,D,H'
Mphyt,1.98398674625914,0.3299463030535823,1,red,19,D,H'
Mphyt,2.0544912665274406,0.3206603418475136,1,red,19,D,H'
Mphyt,2.0779927732835395,0.30673140003841004,1,red,19,D,H'
Mphyt,1.9604852395030394,0.29280245822930695,1,red,19,D,H'
Mphyt,1.819476198966441,0.3020884194353761,1,red,19,D,H'
Mphyt,1.7959746922103417,0.3206603418475136,1,red,19,D,H'
Mphyt,1.6784671584298416,0.30673140003841004,1,red,19,D,H'
Mphyt,1.819476198966441,0.2742305358171695,1,red,19,D,H'
Mphyt,1.889980719234741,0.28351649702323867,1,red,19,D,H'
Mphyt,1.7019686651859405,0.2649445746111012,1,red,19,D,H'
Mphyt,2.0544912665274406,0.28351649702323867,1,red,19,D,H'
Mphyt,2.03098975977134,0.25565861340503204,1,red,19,D,H'
Mphyt,1.9604852395030394,0.24637265219896376,1,red,19,D,H'
Mphyt,1.91348222599084,0.21851476858075713,1,red,19,D,H'
Mphyt,2.0779927732835395,0.24172967159592895,1,red,19,D,H'
Mphyt,2.0779927732835395,0.28351649702323867,1,red,19,D,H'
Mphyt,2.0779927732835395,0.3160173612444792,1,red,19,D,H'
Mphyt,1.9369837327469406,0.23244371038986023,1,red,19,D,H'
Mphyt,1.889980719234741,0.3299463030535823,1,red,19,D,H'
Mphyt,2.10149428003964,0.31137438064144485,1,red,19,D,H'
Mphyt,1.91348222599084,0.27887351642020386,1,red,19,D,H'
Mphyt,2.007488253015241,0.33458928365661667,1,red,19,D,H'
Mphyt,2.03098975977134,0.3531612060687541,1,red,19,D,H'
Circ,1.9604852395030394,0.4692357211446132,2,green,19,D,H'
Circ,2.524521401649439,0.5110225465719225,2,green,19,D,H'
Circ,2.3600108543567395,0.5760242750144045,2,green,19,D,H'
Circ,2.6890319489421386,0.6967417706932979,2,green,19,D,H'
Circ,2.665530442186038,0.7710294603418477,2,green,19,D,H'
Circ,2.6890319489421386,0.743171576723642,2,green,19,D,H'
Circ,2.853542496234837,0.7571005185327451,2,green,19,D,H'
Circ,2.9005455097470385,0.7849584021509508,2,green,19,D,H'
