"lambda","specdens_601_2","specdens_6600_1"
1.678391959799,0.439578703062539,0.463178788776143
1.68844221105528,0.409944828445898,0.411939313993266
1.69849246231156,0.383631485892551,0.353242588224225
1.70854271356784,0.36369789619104,0.291965037486987
1.71859296482412,0.352475188742372,0.23254336501062
1.7286432160804,0.350833547087156,0.178445763836565
1.73869346733668,0.357771949669236,0.13190426384432
1.74874371859296,0.370451630766929,0.0939043358390611
1.75879396984925,0.384675945367989,0.0643741588784261
1.76884422110553,0.395702053038311,0.0424875819372222
1.77889447236181,0.399184982830282,0.0269937454794535
1.78894472361809,0.392024525783324,0.0165060209073781
1.79899497487437,0.372917548278901,0.0097124550863895
1.80904522613065,0.342502612612255,0.00549863324502655
1.81909547738693,0.303094536825357,0.00299470601259453
1.82914572864322,0.258110106928761,0.00156879155005636
1.8391959798995,0.211352324585901,0.000790367975036387
1.84924623115578,0.16633301051117,0.000382905515349133
1.85929648241206,0.125775013732079,0.000178361463641772
1.86934673366834,0.0913648502733891,7.98748849967832e-05
1.87939698492462,0.0637509993322139,3.43855259642114e-05
1.8894472361809,0.0427258050722021,1.42284398421452e-05
1.89949748743719,0.0275025018063556,5.6587235979333e-06
1.90954773869347,0.0170028897666916,2.16284761242064e-06
1.91959798994975,0.0100956844348811,7.94418421660232e-07
1.92964824120603,0.00575715075803817,2.80389138420026e-07
1.93969849246231,0.00315308747590894,9.50904165007243e-08
1.94974874371859,0.0016585160396901,3.09851511526205e-08
1.95979899497487,0.000837833575416257,9.70044482188294e-09
1.96984924623116,0.000406489921984405,2.91764694049214e-09
1.97989949748744,0.00018940674787553,8.43064180016483e-10
1.98994974874372,8.47607079560636e-05,2.34024212117824e-10
2,3.64289840316863e-05,6.2405112503597e-11
