"timescale","net","obs","sub_lo","sub_hi","null_lo","null_hi"
0.0209548781863436,"601-2",0.979313415503841,0.979314753783766,0.981629971580337,0.979309449773023,0.979327168831528
0.0217444985870983,"601-2",0.978544294771535,0.978545735331043,0.980947679672795,0.978540026461255,0.978559090619448
0.0225638734140894,"601-2",0.977746981872802,0.977748532509086,0.980240431616626,0.977742387974518,0.977762898719162
0.0234141238717333,"601-2",0.97692047418677,0.97692214328912,0.979507343945996,0.976915529951435,0.976937596353782
0.0242964134136008,"601-2",0.976063735789212,0.976065532383695,0.978747504164445,0.976058414596675,0.976082153870828
0.0252119493344467,"601-2",0.97517569652894,0.975177630326433,0.97795996996522,0.975169969747665,0.975195507849064
0.0261619844222311,"601-2",0.974255251093409,0.974257332541206,0.977143768444894,0.974249087929825,0.974276560196621
0.0271478186723907,"601-2",0.973301258064798,0.973303498402078,0.976297895311579,0.973294625401514,0.973324177241774
0.0281708010667087,"601-2",0.972312538968008,0.972314950285422,0.975421314089207,0.972305401190096,0.972337188817985
0.029232331419215,"601-2",0.97128787731217,0.971290472615874,0.974512955319518,0.971280196120655,0.971314387344903
0.0303338622916434,"601-2",0.970226017627463,0.970228810907895,0.973571715763552,0.970217751839094,0.970254526907308
0.0314769009810677,"601-2",0.969125664499208,0.969128670804982,0.972596457604662,0.969116769831541,0.969156322334104
0.0326630115824352,"601-2",0.967985481601468,0.967988717118731,0.971586007655214,0.967975910442194,0.968018448279732
0.0338938171288204,"601-2",0.96680409073254,0.966807572870209,0.970539156569433,0.966793791891945,0.96683953831061
0.035171001812328,"601-2",0.965580070855048,0.965583818336342,0.969454658064992,0.965568989300406,0.965618183999426
0.0364963132886836,"601-2",0.964311957143552,0.96431599010427,0.968331228156266,0.964300033714163,0.964352934030416
0.0378715650686657,"601-2",0.962998240042884,0.963002580136925,0.967167544402402,0.962985411144401,0.963042293319021
0.0392986389996522,"601-2",0.961637364340731,0.961642034853371,0.965962245173612,0.961623561617313,0.961684722149642
0.0407794878406749,"601-2",0.960227728258301,0.960232754227776,0.964713928939455,0.960212878241037,0.960278635335503
0.0423161379345089,"601-2",0.958767682563232,0.958773090911226,0.963421153583115,0.958751706293177,0.958822401405025
0.04391069198045,"601-2",0.957255529709278,0.95726134938095,0.962082435746091,0.957238342333342,0.957314341819442
0.0455653319115766,"601-2",0.955689523007698,0.95569578512192,0.960696250207998,0.955671033345503,0.955752730226786
0.047282321880432,"601-2",0.954067865835657,0.954074603846185,0.959261029306612,0.954047975915355,0.954135791757792
0.0490640113572131,"601-2",0.952388710887403,0.952395960755749,0.957775162403646,0.952367315448333,0.952461702369696
0.0509128383447049,"601-2",0.95065015947442,0.950657959855245,0.956236995402191,0.950627145434333,0.950728588244341
0.0528313327143598,"601-2",0.948850260881254,0.948858653321154,0.954644830322162,0.948825506765691,0.948934525247529
0.0548221196680871,"601-2",0.946987011784198,0.946996040934819,0.952996924940576,0.946960387115481,0.947077538457006
0.0568879233304891,"601-2",0.945058355740573,0.945068069587035,0.951291492503971,0.945029720383669,0.945155601767048
0.05903157047646,"601-2",0.943062182756893,0.943072632862582,0.949526701520749,0.943031386219284,0.943166637578117
0.0612559943992475,"601-2",0.940996328944781,0.941007570713629,0.947700675641782,0.940963209627277,0.941108516580698
0.063564238924271,"601-2",0.938858576274133,0.938870669231569,0.945811493638165,0.938822960669391,0.938979057642952
0.0659594625741874,"601-2",0.936646652433653,0.936659660527499,0.943857189485549,0.93660835426897,0.936776027812519
0.068444942890906,"601-2",0.934358230809552,0.934372222732192,0.941835752565095,0.934317050130312,0.934497142443395
0.0710240809204638,"601-2",0.931990930593912,0.932005980127154,0.939745127991686,0.931946652783832,0.932140065459511
0.0737004058669003,"601-2",0.929542317034885,0.92955850341904,0.937583217080657,0.929494711769041,0.929702409767308
0.0764775799214998,"601-2",0.927009901841714,0.92702731017046,0.935347877964973,0.926958721968038,0.927181737830322
0.0793594032740076,"601-2",0.924391143758237,0.924409865400965,0.933036926375377,0.924336124103007,0.924575562419513
0.0823498193126803,"601-2",0.921683449319393,0.921703582372812,0.930648136596772,0.921624305411953,0.921881347553778
0.0854529200202822,"601-2",0.918884173805983,0.918905823576861,0.928179242614702,0.918820600517706,0.919096509645882
0.0886729515734147,"601-2",0.915990622413791,0.916013901934811,0.925627939466528,0.915922292506054,0.916218418869744
0.0920143201528385,"601-2",0.913000051653979,0.913025082234792,0.922991884812539,0.912926572087765,0.913244400765772
0.0954815979727403,"601-2",0.909909671002475,0.909936582818146,0.920268700742909,0.909830635884027,0.910171738101699
0.0990795295371942,"601-2",0.906716644816926,0.906745577536066,0.917455975837095,0.906631637827717,0.906997673007093
0.102813038132378,"601-2",0.903418094540584,0.903449197995581,0.914551267492877,0.903326668614676,0.903719409400414
0.10668723256343,"601-2",0.900011101213304,0.900044536115178,0.91155210454287,0.899912776321568,0.900334115728199
0.11070741414516,"601-2",0.896492708310601,0.896528647011128,0.908455990176936,0.896386969092099,0.896838928036593
0.114879083956192,"601-2",0.8928599249325,0.892898552236331,0.905260405189425,0.892746218163328,0.89323095339603
0.119207950366445,"601-2",0.889109729364554,0.88915124339422,0.90196281157067,0.88898746125398,0.889507273700459
0.123699936848278,"601-2",0.885239073034132,0.885283686150881,0.898560656462601,0.885107606337329,0.885664949862927
0.128361190081958,"601-2",0.881244884885616,0.881292824669169,0.895051376498636,0.881103535821781,0.881701026429766
0.133198088366574,"601-2",0.877124076198663,0.877175586489061,0.891432402548266,0.876972111162793,0.877612536635887
0.138217250347879,"601-2",0.87287354587412,0.872928887878928,0.887701164886898,0.87271017793018,0.873396507923885
0.143425544075018,"601-2",0.86849018621243,0.868549639682658,0.883855098811507,0.868314571355139,0.869049967949663
0.148830096398533,"601-2",0.863970889209578,0.864034753687732,0.879891650722494,0.863782122381521,0.864569951097191
0.154438302722498,"601-2",0.859312553395583,0.859381149539343,0.875808284691876,0.859109664245851,0.859953505524686
0.160257837124139,"601-2",0.854512091240397,0.854585762225434,0.871602489537396,0.854294039610491,0.855197700764024
0.166296662854775,"601-2",0.849566437151677,0.849645550157169,0.867271786421468,0.849332108273947,0.850299635894457
0.172563043236462,"601-2",0.844472556088301,0.84455750386868,0.862813736992895,0.844220755481788,0.845256448310709
0.179065552969238,"601-2",0.839227452812599,0.839318655359055,0.858225952088121,0.838956900860786,0.840065323104285
0.185813089864445,"601-2",0.833828181803154,0.83392608809834,0.853506101007258,0.833537507997812,0.834723503075241
0.192814887020195,"601-2",0.828271857848501,0.828376947717797,0.848651921378313,0.827959594683607,0.829228299389726
0.200080525455621,"601-2",0.822555667340242,0.822668453402774,0.843661229620886,0.822220243839778,0.823577102896342
0.207619947221214,"601-2",0.816676880281841,0.816797910004271,0.838531932018046,0.816316615145274,0.817767396111628
0.215443469003189,"601-2",0.810632863026698,0.81076272088256,0.83326203640213,0.810245957376015,0.811796765881868
0.223561796240478,"601-2",0.804421091755985,0.804560401492993,0.82784966445681,0.804005621468405,0.805662916724749
0.231986037773692,"601-2",0.798039166703064,0.798188593720464,0.8222930646339,0.797593074313945,0.799363684850312
0.240727721046074,"601-2",0.791484827127099,0.791645080964663,0.816590625678949,0.791005913288203,0.79289705285593
0.249798807877256,"601-2",0.78475596703375,0.784927803973432,0.810740890754793,0.784241881512826,0.786261165084809
0.259211710831406,"601-2",0.77785065163535,0.778034877415996,0.804742572146691,0.777299402648442,0.779454343631641
0.268979310202152,"601-2",0.770767134536962,0.770964607181684,0.798594489730942,0.770176383352077,0.77247510497259
